DOID:114	DOID:1682
DOID:863	DOID:2490
DOID:630	DOID:0050325
DOID:630	DOID:655
DOID:1287	DOID:0060091
DOID:114	DOID:6285
DOID:28	DOID:0060089
DOID:77	DOID:0050624
DOID:2914	DOID:0060092
DOID:16	DOID:0060121
DOID:37	DOID:3165
DOID:9098	DOID:5759
DOID:1383	DOID:2664
DOID:17	DOID:0060099
DOID:0080001	DOID:0060094
DOID:65	DOID:0060123
DOID:0080000	DOID:461
DOID:863	DOID:0060115
DOID:331	DOID:0060090
DOID:0050155	DOID:0060096
DOID:15	DOID:0050622
DOID:229	DOID:0060086
DOID:1962	DOID:0060111
DOID:1100	DOID:0060112
DOID:345	DOID:0060095
DOID:121	DOID:0060114
DOID:2059	DOID:0060109
DOID:48	DOID:0060087
DOID:1579	DOID:0050621
DOID:850	DOID:3683
DOID:786	DOID:2598
DOID:2163	DOID:9310
DOID:0060118	DOID:0060097
DOID:3463	DOID:0060082
DOID:18	DOID:731
DOID:365	DOID:0050623
DOID:557	DOID:3116
DOID:1426	DOID:11885
DOID:732	DOID:730
DOID:1287	DOID:176
DOID:114	DOID:117
DOID:178	DOID:175
DOID:28	DOID:170
DOID:9553	DOID:3953
DOID:26	DOID:1793
DOID:11201	DOID:1540
DOID:53	DOID:1785
DOID:50	DOID:1781
DOID:77	DOID:3119
DOID:3128	DOID:14110
DOID:9741	DOID:4607
DOID:4138	DOID:4606
DOID:6050	DOID:5041
DOID:5295	DOID:10155
DOID:1285	DOID:1993
DOID:1518	DOID:1521
DOID:5353	DOID:219
DOID:4072	DOID:10021
DOID:409	DOID:3571
DOID:403	DOID:8618
DOID:1091	DOID:8602
DOID:9297	DOID:8564
DOID:10854	DOID:8850
DOID:76	DOID:10534
DOID:2914	DOID:0060083
DOID:74	DOID:2531
DOID:4961	DOID:4960
DOID:75	DOID:0060073
DOID:9942	DOID:10619
DOID:2529	DOID:672
DOID:533	DOID:3277
DOID:16	DOID:0060122
DOID:37	DOID:4159
DOID:9098	DOID:4840
DOID:1383	DOID:2095
DOID:17	DOID:0060100
DOID:65	DOID:201
DOID:0080001	DOID:184
DOID:0080000	DOID:4045
DOID:863	DOID:3093
DOID:331	DOID:3620
DOID:936	DOID:1319
DOID:319	DOID:5612
DOID:574	DOID:1192
DOID:11465	DOID:2621
DOID:2742	DOID:0060116
DOID:1492	DOID:2174
DOID:0050155	DOID:0060116
DOID:15	DOID:193
DOID:229	DOID:120
DOID:1962	DOID:1964
DOID:1100	DOID:2394
DOID:345	DOID:363
DOID:121	DOID:119
DOID:2059	DOID:1245
DOID:2277	DOID:192
DOID:48	DOID:3856
DOID:1529	DOID:11615
DOID:47	DOID:10283
DOID:2519	DOID:2998
DOID:1579	DOID:0050615
DOID:850	DOID:1324
DOID:786	DOID:2600
DOID:2163	DOID:10811
DOID:1352	DOID:0050619
DOID:3225	DOID:11920
DOID:0060118	DOID:5093
DOID:3463	DOID:1612
DOID:18	DOID:3996
DOID:365	DOID:11054
DOID:557	DOID:263
DOID:1426	DOID:11819
DOID:732	DOID:734
DOID:3128	DOID:9087
DOID:4138	DOID:0050613
DOID:365	DOID:9053
DOID:3463	DOID:8791
DOID:2253	DOID:8991
DOID:5353	DOID:8826
DOID:1492	DOID:8792
DOID:5295	DOID:9024
DOID:557	DOID:9234
DOID:403	DOID:8661
DOID:409	DOID:9132
DOID:850	DOID:8800
DOID:2163	DOID:6148
DOID:403	DOID:0050610
DOID:1529	DOID:8872
DOID:47	DOID:8634
DOID:1285	DOID:9174
DOID:37	DOID:8687
DOID:76	DOID:9138
DOID:3225	DOID:8802
DOID:345	DOID:9108
